,index,Website,食譜名稱,圖片連結,點擊次數,烹飪時間,按讚數,食材種類,烹飪步驟,url
95,4099,楊桃,彩椒滑肉片,https://d3l76hx23vw40a.cloudfront.net/recipe/gy40-050b_1.jpg,,,0,12,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1735
96,4107,楊桃,沙嗲雞球,https://d3l76hx23vw40a.cloudfront.net/recipe/bk70-026d_1.jpg,,,3,16,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-312
97,4123,楊桃,黑胡椒牛肉披薩,https://d3l76hx23vw40a.cloudfront.net/recipe/yb11-048_1.jpg,,,1,9,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-364
98,4147,楊桃,青椒炒牛肉(2),https://d3l76hx23vw40a.cloudfront.net/recipe/gy54-026_1.jpg,,,0,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0777
99,4195,楊桃,芒果雞柳,https://d3l76hx23vw40a.cloudfront.net/recipe/m1050_1.jpg,,,0,11,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-1638
100,4205,楊桃,鳳梨糖醋小排,https://d3l76hx23vw40a.cloudfront.net/recipe/pk01-124_1.jpg,,,3,18,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-0898
101,4222,楊桃,香烤肉串,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn16-012_1.jpg,,,0,11,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-0877
102,4234,楊桃,洋蔥炒蝦,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn01-017_1.jpg,,,0,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B03-0359
103,4238,楊桃,青椒肉絲燴飯,https://d3l76hx23vw40a.cloudfront.net/recipe/whk062-059b_1.jpg,,,0,14,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2840
104,4243,楊桃,三絲銀芽,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn40-041a_1.jpg,,,1,8,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-1125
105,4335,楊桃,糖醋里肌(5),https://d3l76hx23vw40a.cloudfront.net/recipe/bk119-034b_1.jpg,,,0,20,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1045
106,4378,楊桃,沙嗲雞肉串燒,https://d3l76hx23vw40a.cloudfront.net/recipe/bk99-028_1.jpg,,,1,7,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-589
107,4386,楊桃,辣味回鍋肉,https://d3l76hx23vw40a.cloudfront.net/recipe/bk214-020_1.jpg,,,0,12,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2532
108,4394,楊桃,青椒牛肉片,https://d3l76hx23vw40a.cloudfront.net/recipe/yq35-011a_1.jpg,,,0,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0408
109,4407,楊桃,香菇青椒串烤,https://d3l76hx23vw40a.cloudfront.net/recipe/meat-087_1.jpg,,,1,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F06-019
110,4422,楊桃,醬爆肉,https://d3l76hx23vw40a.cloudfront.net/recipe/bk108-042_1.jpg,,,0,11,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-0870
111,4427,楊桃,青椒牛肉炒飯(4),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn081-014b_1.jpg,,,2,12,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0969
112,4434,楊桃,糖醋魚片(5),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn48-024a_1.jpg,,,2,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-1269
113,4438,楊桃,什錦蔬菜瘦身湯,https://d3l76hx23vw40a.cloudfront.net/recipe/bk97-014_1.jpg,,,1,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-197
114,4450,楊桃,左宗棠雞(1),https://d3l76hx23vw40a.cloudfront.net/recipe/bk81-013b_1.jpg,,,0,12,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-394
115,4483,楊桃,青椒炒牛肉絲,https://d3l76hx23vw40a.cloudfront.net/recipe/bk128-033c_1.jpg,,,1,16,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0557
116,4561,楊桃,豆豉鮮蚵(5),https://d3l76hx23vw40a.cloudfront.net/recipe/gy68-019_1.jpg,,,0,8,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F06-0284
117,4596,楊桃,糖醋素排(2),https://d3l76hx23vw40a.cloudfront.net/recipe/bk165-019_1.jpg,,,0,15,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=E01-0145
118,4599,楊桃,樹子豆包,https://d3l76hx23vw40a.cloudfront.net/recipe/gy53-054a_1.jpg,,,0,5,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=E01-0161
119,4641,楊桃,土豆炒青椒,https://d3l76hx23vw40a.cloudfront.net/recipe/gy71-068_1.jpg,,,0,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-1053
120,4659,楊桃,金瑤炒龍筋,https://d3l76hx23vw40a.cloudfront.net/recipe/yt13-021_1.jpg,,,1,13,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-0912
121,4683,楊桃,青椒炒牛肉片,https://d3l76hx23vw40a.cloudfront.net/recipe/bk182-016a_1.jpg,,,0,10,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0824
122,4697,楊桃,酸辣脆皮蛋 ,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn64-023a_1.jpg,,,3,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0590
123,4773,楊桃,豆豉炒肉片,https://d3l76hx23vw40a.cloudfront.net/recipe/bk146-032b_1.jpg,,,0,17,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1421
124,4790,楊桃,醬爆田雞,https://d3l76hx23vw40a.cloudfront.net/recipe/whk43-086b_1.jpg,,,31,14,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A08-008
125,4833,楊桃,XO醬炒魷魚,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn33-038_1.jpg,,,0,10,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B04-0418
126,4838,楊桃,三色椒百香果泡菜,https://d3l76hx23vw40a.cloudfront.net/recipe/kimchi-79_1.jpg,,,0,5,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-033
127,4844,楊桃,咖哩通心麵,https://d3l76hx23vw40a.cloudfront.net/recipe/whk39-119a_1.jpg,,,1,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-553
128,4879,楊桃,糖醋排骨(11),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn072-017_1.jpg,,,0,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2542
129,4899,楊桃,三色雞丁,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn12-054a_1.jpg,,,0,15,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-0849
130,4931,楊桃,黑椒牛肉炒麵,https://d3l76hx23vw40a.cloudfront.net/recipe/gy33-022b_1.jpg,,,0,20,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0720
131,4985,楊桃,成都子雞,https://d3l76hx23vw40a.cloudfront.net/recipe/chicken-88_1.jpg,,,1,19,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-074
132,5019,楊桃,宮保魚柳,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn48-025a_1.jpg,,,0,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-1271
