,index,Website,食譜名稱,圖片連結,點擊次數,烹飪時間,有無影片,食材種類,烹飪步驟,url,按讚數
118,6162,楊桃,青椒牛肉絲(3),https://d3l76hx23vw40a.cloudfront.net/recipe/gy08-060a_1.jpg,,,,14,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0683,0
119,6176,楊桃,川味牛肉鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn35-020_1.jpg,,,,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0838,0
120,6238,楊桃,薑燒牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn07-022b_1.jpg,,,,19,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0567,0
121,6279,楊桃,韭黃牛肉絲(1),https://d3l76hx23vw40a.cloudfront.net/recipe/bk146-047a_1.jpg,,,,18,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0676,0
122,6301,楊桃,鮮椒炒牛肉絲,https://d3l76hx23vw40a.cloudfront.net/recipe/bk162-022_1.jpg,,,,15,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0740,0
123,6318,楊桃,摩洛哥牛肉焗飯,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn081-043_1.jpg,,,,17,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0974,0
124,6325,楊桃,佃煮牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/ck60-032b_1.jpg,,,,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0496,0
125,6482,楊桃,西湖牛肉羹,https://d3l76hx23vw40a.cloudfront.net/recipe/bk84-027a_1.jpg,,,,16,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-298,0
126,6493,楊桃,燒烤風牛肉炒麵,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn43-017_1.jpg,,,,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0857,0
127,6566,楊桃,牛肉絲炒四季豆,https://d3l76hx23vw40a.cloudfront.net/recipe/yq35-012_1.jpg,,,,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0410,0
128,6625,楊桃,馬鈴薯燉牛肉(2),https://d3l76hx23vw40a.cloudfront.net/recipe/whk092-013b_1.jpg,,,,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1101,6
129,6661,楊桃,酸菜炒牛肉片,https://d3l76hx23vw40a.cloudfront.net/recipe/whk089-016b_1.jpg,,,,12,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1146,2
